frequency_hz,horizontal,vertical,axial
1.232032227546006453e+01,1.069274361322609607e-07,7.578092995151691236e-08,5.013235663782160236e-08
1.281313516647846740e+01,5.359864090675431556e-08,8.777417462507833782e-08,6.190583393382779294e-08
1.330594805749687026e+01,2.052668983040417434e-08,6.925904886914613241e-08,3.333625371639387734e-08
1.379876094851527313e+01,1.786243681247700874e-08,3.708944888704686242e-08,4.754367694612576479e-08
1.429157383953367422e+01,1.953973506948858436e-08,6.857694936883708843e-08,4.732968898591094804e-08
1.478438673055207708e+01,3.306714703364726360e-08,6.031922022317612480e-08,4.041920749534402975e-08
1.527719962157047995e+01,2.067690685148333804e-08,3.205027426059439167e-08,5.920488985474415731e-08
1.577001251258888281e+01,1.094034218599999353e-08,2.541294778587624232e-08,8.036915818278011534e-08
1.626282540360728390e+01,4.194742140778779661e-08,9.137404995476458021e-09,5.954693292842781924e-08
1.675563829462568677e+01,3.218249797195170486e-08,2.129134941165535607e-08,5.458497127554835699e-08
1.724845118564408963e+01,3.772687300865689525e-08,9.665168384525753546e-09,4.153627272570896674e-08
1.774126407666249250e+01,4.694864927066095066e-08,1.769718197365598960e-08,1.614271595437740900e-08
1.823407696768089536e+01,2.654595889649000142e-08,1.543633440729929065e-08,9.398712906431523606e-08
1.872688985869929823e+01,3.143816567440546505e-08,3.997655078649004649e-08,9.220658434585260451e-08
1.921970274971770110e+01,3.078667090558651876e-08,7.854030248083675240e-08,3.439976244199249946e-08
1.971251564073610396e+01,3.004554706367940199e-08,7.838536442110357489e-08,2.591875386964621499e-08
2.020532853175450683e+01,2.534096494849707865e-08,1.135892294228684760e-07,3.615032759172160421e-08
2.069814142277290969e+01,3.438021464029788336e-08,9.088910567924015194e-08,7.436803278081289567e-08
2.119095431379131256e+01,2.621677333315364178e-08,2.320770103601634954e-08,2.784489431086101701e-08
2.168376720480971542e+01,3.014794580395181133e-08,1.426082019755304924e-08,1.742853737119506458e-08
2.217658009582811474e+01,1.300671841033135003e-08,4.220167143728887927e-08,3.507752501114563238e-08
2.266939298684651760e+01,4.676251224570056411e-08,4.484718077706988099e-08,9.171358195315778661e-09
2.316220587786492047e+01,2.834218932882215792e-08,3.834347561121183171e-08,2.443333304663144486e-08
2.365501876888332333e+01,9.213303333327670270e-08,7.124537960803029150e-08,3.276239951483724364e-08
2.414783165990172620e+01,2.636457857963035929e-08,7.685616808581459938e-08,3.735364290579607953e-08
2.464064455092012906e+01,4.826832454276798229e-08,1.092949468445634190e-08,5.112228621228962223e-08
2.513345744193853193e+01,8.631215064564889244e-08,8.192715096319925881e-08,7.750598166467077700e-09
2.562627033295693479e+01,3.828813057296369804e-08,7.343521158314584769e-08,3.502762278951480406e-08
2.611908322397533766e+01,8.066647282873558380e-09,4.373967855116928516e-08,3.037667376917318867e-08
2.661189611499374053e+01,5.454348670428759681e-08,3.727804450508367401e-08,7.953891641916601456e-08
2.710470900601214339e+01,6.198507841927399055e-08,8.222947493200595601e-08,4.231266897587344455e-08
2.759752189703054626e+01,6.925631620678368151e-08,9.882556409327338314e-08,1.569325270687034226e-07
2.809033478804894912e+01,8.134752790708797994e-08,3.625019196689011605e-08,9.669833294543949799e-08
2.858314767906734843e+01,4.543302301403168771e-08,4.764730339728779110e-08,2.946791328891000613e-07
2.907596057008575130e+01,3.803979366811646481e-07,9.440842657883839164e-08,4.822130428564759628e-04
2.956877346110415417e+01,6.758892915926669430e-03,4.828119399138916003e-04,1.461134843743564990e-02
3.006158635212255703e+01,1.351645909909046303e-02,9.654809268264419883e-04,3.065606443678188173e-02
3.055439924314095990e+01,6.758837731520513613e-03,4.827795343773577598e-04,1.556894874124711489e-02
3.104721213415936276e+01,2.509252317201281379e-07,7.789187601389466935e-08,6.688996486503415815e-07
3.154002502517776563e+01,1.392823913649395975e-07,3.192798217667949291e-08,2.257500356161715113e-07
3.203283791619616494e+01,3.885199370706999448e-08,6.298403816711808734e-08,1.167648151752653750e-07
3.252565080721456781e+01,6.656431732657910963e-08,1.035800632826795464e-07,9.910795864419311668e-08
3.301846369823297067e+01,1.896087000328279705e-08,4.928711979939448893e-08,8.880473389078347387e-08
3.351127658925137354e+01,8.386204663313828976e-08,1.075778781285105778e-08,1.514567247705680097e-08
3.400408948026977640e+01,7.103999779417247501e-08,4.470804635950829863e-08,4.795858750632399302e-08
3.449690237128817927e+01,3.225183612153262200e-08,6.331505598548389295e-08,2.107755641084905880e-08
3.498971526230658213e+01,4.200667566758309395e-08,1.195470361170209269e-08,7.900090988954793425e-08
3.548252815332498500e+01,3.717861696836654072e-08,3.154056040919103853e-08,4.841641666977623693e-08
3.597534104434338786e+01,1.874633684647712405e-08,2.237748312871824769e-08,3.832622783039937558e-08
3.646815393536179073e+01,4.970324287481271243e-08,3.703216815121607147e-08,6.520347719389652362e-08
3.696096682638019360e+01,7.280313348062506237e-08,2.344251430254439357e-08,9.876820342290995494e-08
3.745377971739859646e+01,7.651768556236483363e-08,4.151337965292607728e-08,2.417483209278279704e-08
3.794659260841699933e+01,3.540857521038918323e-08,5.379683152703661616e-08,4.729719691624452509e-08
3.843940549943540219e+01,4.097086186907295176e-08,3.476593858649331722e-08,2.554985716210056754e-08
3.893221839045380506e+01,7.177799380458804388e-08,1.938094777369816772e-08,2.107053909336235290e-08
3.942503128147220792e+01,8.200054754573338063e-08,4.738354878351136987e-08,1.110802925139998284e-08
3.991784417249061079e+01,5.757047308034825555e-08,8.896243462969554150e-08,6.295555610836181381e-08
4.041065706350901365e+01,5.738432165185212389e-08,1.002018390600619395e-07,5.269014484458584614e-08
4.090346995452741652e+01,4.789762770655535202e-08,8.126607701760216121e-08,1.067537349723810142e-08
4.139628284554581938e+01,3.434451948639828358e-08,3.441378950449250101e-08,9.267751294369995477e-08
4.188909573656422225e+01,1.906064916314782498e-08,8.412103402703776176e-08,9.897010021895978796e-08
4.238190862758262512e+01,7.790613908912579691e-08,1.214198827743173725e-07,8.362127743071091053e-08
4.287472151860102798e+01,9.011256027928936758e-08,4.972847180707518202e-08,3.088171470919501073e-08
4.336753440961943085e+01,1.076538001490566971e-07,3.483047938200030386e-08,6.158202648738264220e-08
4.386034730063783371e+01,1.294615811249705663e-07,3.904816783267506079e-08,7.175681582689325912e-08
4.435316019165622947e+01,1.022527842118502390e-07,2.919322069539367399e-08,6.278661450646587518e-08
4.484597308267463234e+01,8.129985606873799472e-08,7.890662782630752339e-08,6.484522175862928680e-08
4.533878597369303520e+01,5.720336952273863563e-08,7.269251996182824221e-08,1.194946154482543342e-08
4.583159886471143807e+01,4.423932892011454822e-08,3.661137145647256540e-08,3.903586072322516684e-08
4.632441175572984093e+01,4.997373820207643570e-08,7.201562206754040187e-08,4.576423180191186237e-08
4.681722464674824380e+01,3.838403268427491635e-08,5.968327795084799668e-08,4.354699038191906566e-08
4.731003753776664666e+01,2.531887474653896933e-08,5.145855149427288471e-08,4.763296665631089563e-08
4.780285042878504953e+01,5.561752572240649454e-08,6.299353611358452333e-08,7.185510617584432233e-08
4.829566331980345240e+01,8.082910899441747091e-08,8.634878471249847772e-08,2.649406306971311023e-08
4.878847621082185526e+01,2.701355333682184350e-08,8.809092015234203088e-08,2.685343688308377360e-08
4.928128910184025813e+01,2.501773154081113087e-08,7.669236199274554566e-08,3.304987864366374027e-08
4.977410199285866099e+01,4.104163231246068656e-08,3.569813465207681610e-08,8.645487978314251603e-09
5.026691488387706386e+01,4.068992314699893602e-08,4.916546344200478341e-08,3.271202927828743514e-08
5.075972777489546672e+01,7.074427503359596675e-08,1.193507900928168715e-08,4.917648796830814959e-08
5.125254066591386959e+01,5.698086255162423285e-08,2.117254401895145954e-08,4.353619546683733794e-08
5.174535355693227245e+01,6.203647607763847742e-08,4.080733757716535938e-08,3.539565649682309652e-08
5.223816644795067532e+01,5.268969838241198335e-08,1.260872172832882790e-08,4.512878377620833398e-08
5.273097933896907819e+01,2.523256827664264434e-08,2.046294088978192923e-08,2.539388682471257262e-08
5.322379222998748105e+01,3.269663958411507083e-08,7.699778546853407774e-08,1.003249646138629171e-07
5.371660512100588392e+01,2.645338105382448469e-08,5.068363021554462656e-08,6.478662009484550281e-08
5.420941801202428678e+01,4.994395392163154621e-09,5.615274630360522053e-08,9.126409526622265683e-08
5.470223090304268965e+01,5.099540437588823859e-08,2.907765766962926884e-08,1.482604982697478449e-07
5.519504379406109251e+01,3.057881629130834154e-08,9.699817115026452266e-08,5.281375868514060008e-08
5.568785668507949538e+01,8.105521331621820307e-08,1.149034328068862312e-07,1.704415144546966257e-07
5.618066957609789824e+01,1.628088643572293182e-08,6.926262407771999989e-08,4.826872380817655468e-04
5.667348246711630111e+01,8.784727597847166606e-08,7.317849973391579215e-08,9.658014069070218217e-04
5.716629535813469687e+01,7.830076830027266330e-08,9.001218529368504524e-08,9.654285840934883657e-04
5.765910824915309973e+01,9.176153521153662394e-08,1.228320071330757283e-07,3.700616173876644366e-07
5.815192114017150260e+01,1.798394374228138302e-07,2.535634620505395580e-07,4.824590166551651180e-04
5.864473403118990547e+01,3.223853092044831706e-07,5.016492122012789527e-07,6.296690355728761157e-07
5.913754692220830833e+01,9.651014845545061128e-04,1.364601395414090802e-03,1.929856701953966717e-03
5.963035981322671120e+01,1.809853967560896837e-02,2.809242811182735555e-02,4.252729648368785975e-02
6.012317270424511406e+01,4.033619022716987412e-02,6.549222939432065849e-02,1.035964942855345794e-01
6.061598559526351693e+01,2.289779582219567122e-02,3.990027759747617059e-02,6.405847608214888800e-02
6.110879848628191979e+01,1.080387737179888240e-03,2.938477647058106851e-03,4.854928444836864067e-03
6.160161137730032266e+01,2.446713274664579497e-07,3.658774618206946622e-07,4.834804285281955123e-04
6.209442426831872552e+01,4.829052222259392550e-04,9.657601694203748338e-04,4.831140862284754602e-04
6.258723715933712839e+01,7.763323171435165027e-08,1.257276206253359407e-07,2.472173764285921301e-07
6.308005005035553125e+01,7.354264771403485356e-08,6.332538383530014392e-08,1.365648619611648708e-07
6.357286294137393412e+01,2.916992622795079234e-08,6.835313277987924122e-08,9.116593971333087536e-08
6.406567583239232988e+01,7.397227558179193897e-08,2.735103832897383250e-08,1.041274012452388572e-07
6.455848872341073275e+01,2.508629019690281771e-08,5.942719851726511767e-08,1.418129151658315116e-07
6.505130161442913561e+01,7.674211387198595507e-08,7.956600789389657847e-08,4.262761280638324552e-08
6.554411450544753848e+01,4.242569785797888757e-08,1.098382600271570384e-07,9.869721320741021025e-08
6.603692739646594134e+01,6.600070965430968457e-08,9.657790351721312096e-04,5.850439114715975998e-08
6.652974028748434421e+01,3.106108356276198601e-08,1.931267078694481453e-03,5.092239586618961097e-08
6.702255317850274707e+01,2.908180400771481811e-08,9.657440991066845986e-04,1.476375202091153889e-08
6.751536606952114994e+01,7.143904826090906801e-08,6.112645689590036975e-08,8.246590853746494655e-08
6.800817896053955280e+01,9.246650336447078673e-08,2.897824054235867050e-08,7.860128934227048252e-09
6.850099185155795567e+01,2.330909060421853798e-08,3.523043342678453274e-08,4.724983409874646863e-08
6.899380474257635854e+01,4.911152704402998499e-08,3.329929683560058425e-08,5.906875799103965371e-09
6.948661763359476140e+01,2.643217728648762417e-08,6.698169778242071474e-08,5.738257045321249614e-08
6.997943052461316427e+01,5.502840535837972754e-08,5.006702105364974108e-08,3.056284521946153891e-08
7.047224341563156713e+01,3.424966407169277376e-08,3.526961213297472920e-08,3.237579790845565029e-08
7.096505630664997000e+01,1.974242278995588477e-08,5.150643714519570290e-08,5.674541943867336138e-08
7.145786919766837286e+01,3.408979464665769840e-08,6.896936138970135630e-08,8.006922510846326647e-08
7.195068208868677573e+01,1.953936923754672627e-08,2.243299910024890309e-08,9.657748672096349131e-04
7.244349497970517859e+01,4.776503652919992357e-08,6.068497355273988469e-08,1.931397408376684527e-03
7.293630787072358146e+01,3.349510895546539140e-08,4.623297426936973805e-08,9.658035811034679664e-04
7.342912076174198432e+01,5.268066557278777582e-08,6.688709093951091014e-08,6.617091893919500011e-08
7.392193365276038719e+01,1.346407421229994855e-08,9.744412127473125641e-08,8.028089206214268600e-08
7.441474654377879006e+01,6.184144316728740229e-08,2.961757222734964189e-08,5.461127441216729732e-08
7.490755943479719292e+01,6.271634808711541525e-08,3.582312459904392404e-08,4.919616563811432446e-08
7.540037232581559579e+01,1.190861585566388343e-07,3.206518423425653901e-08,1.029212136976106086e-07
7.589318521683399865e+01,9.809825851742195302e-08,4.818367638540840093e-08,2.173861019315596233e-08
7.638599810785240152e+01,8.597527306441893179e-08,2.107937301292514654e-08,4.074779811905747252e-08
7.687881099887080438e+01,5.426023436844728099e-08,1.034377207678001681e-07,6.700628297953707910e-08
7.737162388988920725e+01,1.627749461652730648e-08,9.124163145004485950e-08,7.171656926360217659e-08
7.786443678090761011e+01,3.854155038386114797e-08,8.201324188480919591e-08,3.419540520389053443e-08
7.835724967192601298e+01,4.009351682966137961e-08,8.461639771692987004e-08,2.516981291132831920e-08
7.885006256294441584e+01,8.668403300296902033e-08,4.893107207366920795e-08,5.657586579951076907e-08
7.934287545396281871e+01,7.713721956337706971e-08,3.538725564486709028e-08,8.711747996609965627e-08
7.983568834498122158e+01,1.030105572717999219e-08,5.405883777166270378e-08,1.544230716142266418e-08
8.032850123599962444e+01,7.320263537456286276e-08,4.186144645039819248e-08,5.347466867090675357e-08
8.082131412701802731e+01,9.860085470974184732e-08,4.908431285975590972e-08,3.676617494377949110e-08
