frequency_hz,horizontal,vertical,axial
8.970860927152317288e+01,4.765743744663930662e-08,7.855021271583445236e-08,1.443616769676569887e-08
9.020151371807000373e+01,3.151598952457571871e-08,8.038112669119741783e-08,7.278532802727809878e-08
9.069441816461683459e+01,2.630651974336522751e-08,6.474127914205350348e-08,1.009208163220576778e-07
9.118732261116366544e+01,5.618444274146214618e-08,6.591126590144882747e-08,6.952663718615931749e-08
9.168022705771049630e+01,6.592588390403877079e-08,2.507543076428004114e-08,4.309761444064920645e-08
9.217313150425732715e+01,8.986111311606370962e-08,3.596149336806730323e-08,5.422919952853786792e-08
9.266603595080415801e+01,4.696669454658549839e-08,1.210304753581556676e-08,6.136424911259549020e-08
9.315894039735098886e+01,2.337370017499572813e-08,1.646856798546590198e-08,5.395832850324259398e-08
9.365184484389781971e+01,3.601676330223241803e-08,1.263655570880975634e-08,5.703709979927767795e-08
9.414474929044465057e+01,4.844781881288632906e-08,1.052603645398363099e-08,4.829669388614539504e-04
9.463765373699148142e+01,9.205050701223878555e-08,2.494965694528251691e-08,6.831097384232513595e-04
9.513055818353831228e+01,4.145693429250497850e-08,2.597916100168596177e-08,1.527211587811195008e-03
9.562346263008514313e+01,4.017950509130680742e-08,2.546047700505865698e-08,1.079934332893486273e-03
9.611636707663197399e+01,6.415808542021790413e-08,4.883991523287558408e-08,3.738017590286072411e-08
9.660927152317880484e+01,3.168819569342361314e-08,4.203940788661440394e-08,1.087590362530737242e-07
9.710217596972563570e+01,2.931794935566014327e-08,2.094386535576078496e-08,2.858068566526276229e-08
9.759508041627246655e+01,6.877193470370588101e-08,3.881787452920652182e-08,6.609698084886366978e-08
9.808798486281929740e+01,1.035210971867393705e-07,7.668995948452754610e-08,4.769085268265306076e-08
9.858088930936612826e+01,9.346704461577888387e-08,3.839198112773366810e-08,2.374718419840928203e-08
9.907379375591295911e+01,7.023852794131604161e-08,5.920842014996645347e-08,5.963284328621051541e-08
9.956669820245978997e+01,7.217854142509623302e-08,4.384670976610688878e-08,6.815462673430900562e-08
1.000596026490066208e+02,7.478701652085809391e-08,6.049131953626240999e-08,6.157902546368060189e-08
1.005525070955534517e+02,8.549837923506711517e-08,3.499242904274269306e-08,2.706867662812752089e-08
