frequency_hz,horizontal,vertical,axial
1.612970333292637974e+02,1.150331005676078072e-01,8.869051379233874877e-02,1.358778109890784458e-01
1.632640703210840911e+02,5.219263645444583224e-03,7.505955081005429713e-03,2.568493308443709627e-02
1.652311073129043848e+02,6.360628519685341750e-03,2.420875680675592129e-03,1.318842096416091361e-02
1.671981443047246785e+02,4.455467947240199754e-03,1.527037123295781973e-03,3.512653787200897045e-03
1.691651812965449722e+02,1.076924113378806931e-03,4.812810764462970080e-04,2.902642873692158967e-03
1.711322182883652658e+02,3.055928945259681583e-03,1.932575780634478895e-03,4.457722472750409899e-03
1.730992552801855595e+02,3.418948222687225643e-03,2.603372332910483967e-03,6.297948996563696410e-03
1.750662922720058532e+02,2.163487452228219244e-03,1.781549392822827743e-06,2.423055518332646683e-03
1.770333292638261184e+02,1.450295940874699431e-03,1.451466922222293537e-03,2.161738252831595791e-03
1.790003662556464121e+02,1.993787278653161646e-03,1.528157973613657834e-03,4.833532679477687416e-03
1.809674032474667058e+02,2.049477177938437058e-03,2.942738977930670335e-03,1.168935831262552481e-02
1.829344402392869995e+02,2.515064196964526474e-02,2.565336392603818558e-02,1.204090088969255595e-01
1.849014772311072932e+02,8.938025325004646249e-02,9.345381594484673815e-02,4.616752299910456547e-01
1.868685142229275868e+02,7.464371442662161293e-02,7.807801297570400589e-02,3.975322314772005150e-01
1.888355512147478805e+02,9.796035590935312648e-03,1.187335167401533734e-02,5.658813740633324846e-02
1.908025882065681742e+02,4.977257401974651170e-03,2.157836340712167029e-03,9.680594671110674676e-03
1.927696251983884679e+02,1.934794727130776477e-03,4.132743316272768745e-03,1.239037222284132371e-02
1.947366621902087331e+02,2.604413008177926519e-03,1.451880374284923161e-03,5.054014685665541608e-03
1.967036991820290268e+02,3.240949182087619201e-03,6.117168071178258684e-03,1.851209483469400813e-02
1.986707361738493205e+02,2.816862245211320271e-03,5.513163161805723078e-03,1.841536362771990440e-02
2.006377731656696142e+02,2.464913769618425413e-03,1.083190481288264385e-03,2.414424179253222592e-03
2.026048101574899079e+02,1.528193723959282452e-03,1.079468406304297809e-03,6.455566123659244558e-03
2.045718471493102015e+02,2.165061159501319946e-03,9.692909363580554756e-04,6.841307593535290825e-03
2.065388841411304952e+02,1.742889578490623747e-03,4.813726533970985101e-04,1.250210703508623442e-02
2.085059211329507889e+02,1.535303368196802706e-03,2.831153063376330974e-03,4.363371768213200955e-03
2.104729581247710541e+02,2.441224848287624344e-02,5.823548897363627075e-02,2.383463520786685830e-01
2.124399951165913478e+02,4.130324546659021323e-02,1.023527290312486182e-01,4.095176944680261055e-01
2.144070321084116415e+02,1.715453668904753579e-02,4.555005926400566146e-02,1.806380846409046115e-01
2.163740691002319352e+02,2.050378542898677672e-03,1.454812855580983871e-03,6.076275030529372338e-03
2.183411060920522289e+02,1.370830555147017947e-03,2.941741529295617639e-03,8.571111712589502343e-03
2.203081430838725225e+02,2.943226836811607162e-03,1.081743070198757858e-03,7.802266765422847909e-03
2.222751800756928162e+02,3.872112837252165204e-03,1.083857544488087783e-03,8.247486850614315149e-03
2.242422170675131099e+02,6.876962202465946271e-04,9.672899287955278756e-04,4.466642271952831617e-03
2.262092540593334036e+02,5.344636207447204211e-03,4.836313995178558012e-04,1.122289645969372536e-02
2.281762910511536688e+02,6.067491080248029953e-03,4.845884830934388309e-04,8.727196069506525100e-03
2.301433280429739625e+02,3.488724145855875026e-03,1.530223109273917215e-03,5.665300290447747300e-03
2.321103650347942562e+02,3.424639322776762071e-03,1.084236564859003896e-03,1.996439662613146669e-03
2.340774020266145499e+02,6.308682001542416720e-03,3.489418177011401404e-03,1.069316370662385177e-02
2.360444390184348435e+02,5.654046432021848229e-02,2.330314036777565365e-02,7.567099781574687656e-02
2.380114760102551372e+02,2.098822578774786063e-01,8.563979692133995292e-02,2.719497532712903398e-01
2.399785130020754309e+02,1.734541195636024047e-01,7.204838820129223775e-02,2.183595593711860627e-01
2.419455499938957246e+02,1.778407706930421744e-02,1.149276926198672215e-02,2.298887029106023300e-02
2.439125869857159898e+02,9.880751258753954144e-03,6.877452832145245550e-04,1.048514892535665384e-02
2.458796239775362835e+02,1.742367573412674422e-03,2.607410308106388602e-03,3.691580685801772437e-03
2.478466609693565772e+02,4.834086887534825823e-04,4.843230550171618242e-04,2.944457230401329242e-03
2.498136979611768709e+02,1.533019607862045469e-03,1.452302344478009202e-03,4.843619111667760505e-03
2.517807349529971646e+02,9.689033457027581035e-04,4.828975968554609778e-04,4.766155078202493310e-03
2.537477719448174582e+02,4.827747390788483567e-04,1.082262999258575041e-03,3.426107102171770894e-03
2.557148089366377519e+02,1.748538600634204701e-03,4.850790308924453624e-04,2.945958003217223620e-03
2.576818459284580172e+02,4.359453137572387622e-03,2.054915295869152569e-03,3.686344055816976727e-03
2.596488829202783108e+02,2.460028680367896958e-03,1.998753154518232659e-03,4.110794144825622928e-03
2.616159199120986045e+02,1.650607326086846530e-02,2.615359898702430009e-03,6.323506189151673930e-03
2.635829569039188982e+02,2.179694716383388242e-01,5.392187537636387168e-02,6.111328203448736923e-02
2.655499938957391919e+02,3.492979185334269543e-01,8.989384675860713492e-02,9.248454089128090028e-02
2.675170308875594856e+02,1.332881834245557284e-01,3.714688012885673102e-02,4.120186897769279738e-02
2.694840678793797792e+02,1.597105977492963708e-02,3.902108369552668467e-03,7.412240543282737001e-03
2.714511048712000729e+02,9.819406171637895878e-03,3.906680268135458330e-03,6.315120295479271714e-03
2.734181418630203666e+02,6.930175906107774973e-03,1.082615716366647522e-03,1.746617912671724875e-03
2.753851788548406603e+02,5.849001345668241800e-03,1.453116609288389446e-03,2.421218761691868154e-03
2.773522158466609540e+02,9.652494870593934795e-03,1.938067454564578601e-03,2.468649678110007226e-03
2.793192528384812476e+02,7.657075293902401714e-03,9.690261437776054917e-04,1.370396417085178314e-03
2.812862898303015413e+02,2.167760921045725712e-03,4.104361006485475071e-07,9.682912800915219461e-04
2.832533268221218350e+02,1.084670232904614683e-03,2.381911129916749415e-07,9.698741009941032895e-04
2.852203638139421287e+02,1.082202993122903783e-03,4.838786379656795562e-04,1.452724265790896092e-03
2.871874008057623655e+02,1.999259909900050897e-03,1.452707886064577092e-03,9.676191869369708603e-04
2.891544377975826592e+02,2.328086612914939332e-02,1.578751007745245530e-02,2.316068565021947578e-02
2.911214747894029529e+02,7.273528788103474085e-02,4.845530042993236725e-02,6.881894013688019673e-02
2.930885117812232465e+02,5.613235831536302067e-02,3.511220681660838505e-02,5.138421049432061183e-02
2.950555487730435402e+02,8.380316267905240160e-03,2.170915925214417057e-03,8.026630913974047363e-03
2.970225857648638339e+02,3.493911986482160868e-03,1.750140831999582799e-03,1.751611918920515775e-03
2.989896227566841276e+02,2.827868503270873635e-03,4.855355147713059775e-04,6.860719937394379716e-04
3.009566597485044213e+02,6.841534542236784797e-04,4.848271210818637855e-04,1.532914100125344452e-03
3.029236967403247149e+02,4.838268148952986182e-04,9.694163204526684867e-04,1.998791015384713664e-03
3.048907337321450086e+02,1.532211082909842089e-03,4.847058518678259422e-04,6.189914297696833360e-07
