frequency_hz,horizontal,vertical,axial
3.838227484969634418e+01,3.561279012465786058e-08,7.487227008029647056e-08,8.605933981200751491e-08
3.887435529648732313e+01,4.442080038149646643e-08,9.303187291427264052e-08,6.609614577187666175e-08
3.936643574327830208e+01,4.827208629388463155e-04,8.476939167887132267e-08,7.180638563310513634e-09
3.985851619006928104e+01,9.654657595292357158e-04,6.856090550152353660e-08,6.063587889867777222e-08
4.035059663686025999e+01,4.827941934281414368e-04,7.795419657134637514e-08,1.005600168812988052e-07
4.084267708365123895e+01,4.621127488354262558e-08,5.481035061515280570e-08,5.899552280141152855e-08
4.133475753044221790e+01,4.560620282645231948e-08,2.439773241064326865e-08,3.744332695828660671e-08
4.182683797723319685e+01,4.819898946476029468e-08,4.763040312093906288e-08,3.875576754174510899e-08
4.231891842402417581e+01,2.669133785983962763e-08,3.570269109684955156e-08,5.414677329576312524e-08
4.281099887081515476e+01,5.587976027068614461e-08,2.426279498974893044e-08,3.126233572156119233e-08
4.330307931760613371e+01,4.800133258168066023e-08,4.448915174474802195e-08,2.921385275847159468e-08
4.379515976439711267e+01,3.288283327674034177e-08,7.462744232164612303e-08,2.096880318737535856e-08
4.428724021118809162e+01,5.078110113722819722e-08,4.746748709636418277e-08,4.366843573063303182e-08
4.477932065797907057e+01,7.068790682710979983e-08,1.591402963040646343e-08,1.716086918399099319e-08
4.527140110477004953e+01,4.651482376259705994e-08,4.156910049114607757e-08,3.923335832470891529e-08
4.576348155156102848e+01,2.220949199230171315e-08,4.668371046562811607e-08,7.314182153269881532e-08
4.625556199835200744e+01,3.049497708489330014e-08,6.787343205621827196e-08,7.058873829768452818e-08
4.674764244514298639e+01,7.212361403813831412e-08,7.801871473847731078e-08,6.377603856445966603e-08
4.723972289193396534e+01,7.409569377581165291e-08,4.363466784639754320e-08,4.711999661739286533e-08
4.773180333872494430e+01,4.165211695751984409e-08,4.208159430338209728e-08,5.966998521885405959e-08
4.822388378551592325e+01,4.600233850100887013e-08,4.504446208603213515e-08,8.142003501281076955e-08
4.871596423230690220e+01,4.670535039446113859e-08,4.866660666443212734e-08,9.060937724159289979e-08
4.920804467909788116e+01,4.036207665156036025e-08,4.593645358847158466e-08,3.644955243815135167e-08
4.970012512588886011e+01,4.192767989562379651e-08,4.520245524737162408e-08,1.856676676736105962e-08
5.019220557267983907e+01,2.281878531390772523e-08,3.730818455952430057e-08,3.464300019200901638e-08
5.068428601947081802e+01,4.200303146541386874e-08,2.414864423442528753e-08,3.903480907347372280e-08
5.117636646626179697e+01,2.749695872159455547e-08,5.531442260193682743e-08,7.216724359946869050e-08
5.166844691305277593e+01,4.556063746734143577e-08,7.069692184788876055e-08,9.252477670256930533e-08
5.216052735984375488e+01,2.792622342280292745e-08,5.131013448750468815e-08,6.323880422137170846e-08
5.265260780663472673e+01,5.411348379640360557e-08,4.643945930225394041e-08,1.070614911195529856e-07
5.314468825342570568e+01,9.494787553032791801e-08,3.174333751603876917e-08,5.583697149002849801e-08
5.363676870021668464e+01,5.768611620131918616e-08,4.550401927205344118e-08,4.094474666683560685e-08
5.412884914700766359e+01,1.552034999637656352e-08,4.192623196218547356e-08,6.044291528985532640e-08
5.462092959379864254e+01,6.239897418055767241e-08,6.228084679141681441e-08,5.168875524524619903e-08
5.511301004058962150e+01,5.863674084523707270e-08,8.566510661587160148e-08,1.089462753365677937e-07
5.560509048738060045e+01,2.591679288568090626e-09,6.545530193729234746e-08,5.641454170332711936e-08
5.609717093417157940e+01,2.832840202047009606e-08,9.145971557915967588e-08,1.351993421751574287e-07
5.658925138096255836e+01,2.455575179093475755e-08,1.029014413765756425e-07,1.299121352640652400e-07
5.708133182775353731e+01,2.107332237285332497e-08,9.686544281671785258e-08,2.548634697403868714e-07
5.757341227454451626e+01,1.024039351813620335e-07,7.400694286408210278e-08,3.681696938332549426e-07
5.806549272133549522e+01,5.791130008108596564e-08,4.111731121941495811e-08,8.186339286655361540e-07
5.855757316812647417e+01,2.498878613872077638e-07,6.171617529654239117e-08,7.384531431175821344e-03
5.904965361491745313e+01,5.794117129329913636e-03,2.749315430616053147e-08,2.743974997790605067e-02
5.954173406170843208e+01,1.158713299224305160e-02,5.398257998696054933e-08,8.755193866495389332e-02
